year,pbi,pop
2022,37.336412,4408580.0
2023,40.176772,4468086.0
2024,42.172323,4527961.0
2025,44.144136,4586672.0
2026,46.20418,4644204.0
2027,48.338746,4700639.0
2028,50.60558,4756063.0
2029,52.872414000000006,4810535.0
2030,55.13924800000001,4864126.0
2031,57.40608200000001,4917001.0
2032,59.672916000000015,4969178.0
2033,61.93975000000002,5020569.0
2034,64.20658400000002,5071120.0
2035,66.47341800000002,5120748.0
2036,68.74025200000003,5169384.0
2037,71.00708600000003,5216940.0
2038,73.27392000000003,5263458.0
2039,75.54075400000004,5308888.0
2040,77.80758800000004,5353222.0
2041,80.07442200000004,5396390.0
2042,82.34125600000004,5438418.0
2043,84.60809000000005,5479534.0
2044,86.87492400000005,5519568.0
2045,89.14175800000005,5558419.0
2046,91.40859200000006,5596146.0
2047,93.67542600000006,5632900.0
2048,95.94226000000006,5668608.0
2049,98.20909400000006,5703036.0
2050,100.47592800000008,5736121.0
2051,102.74276200000008,5767903.0
2052,105.00959600000007,5798568.0
2053,107.27643000000008,5828252.0
2054,109.54326400000008,5856866.0
2055,111.81009800000008,5884370.0
2056,114.07693200000008,5910835.0
2057,116.34376600000007,5936180.0
2058,118.61060000000008,5960388.0
2059,120.8774340000001,5983608.0
2060,123.1442680000001,6005865.0
